domain,trial_types,r,n
Body image,tt1_tt2,-0.055123451302505004,23
Body image,tt1_tt3,-0.16105069734424443,23
Body image,tt1_tt4,0.0922237657217686,23
Body image,tt2_tt3,0.37809110944095753,23
Body image,tt2_tt4,-0.22311224243485986,23
Body image,tt3_tt4,0.32471507483243345,23
Clinton-Trump,tt1_tt2,0.2599321844169864,97
Clinton-Trump,tt1_tt3,0.32172503886052184,97
Clinton-Trump,tt1_tt4,0.26627395756051997,97
Clinton-Trump,tt2_tt3,0.14837213204003916,97
Clinton-Trump,tt2_tt4,0.15747374761401414,97
Clinton-Trump,tt3_tt4,0.38865866931361653,97
Death (1),tt1_tt2,0.6889713308687468,17
Death (1),tt1_tt3,0.11906306510849063,17
Death (1),tt1_tt4,0.0871569016518362,17
Death (1),tt2_tt3,-0.020786246034712103,17
Death (1),tt2_tt4,-0.033575275062391184,17
Death (1),tt3_tt4,-0.021034234130755596,17
Death (2),tt1_tt2,0.27425521337588615,26
Death (2),tt1_tt3,-0.3549912714416244,26
Death (2),tt1_tt4,-0.15924610175997947,26
Death (2),tt2_tt3,-0.24869239931657713,26
Death (2),tt2_tt4,-0.21302609150433485,26
Death (2),tt3_tt4,0.2653298710859836,26
Friend-Enemy,tt1_tt2,0.15791930548185334,98
Friend-Enemy,tt1_tt3,0.1959255962571543,98
Friend-Enemy,tt1_tt4,0.1392814974956837,98
Friend-Enemy,tt2_tt3,0.22541863772279583,98
Friend-Enemy,tt2_tt4,0.19662419358435104,98
Friend-Enemy,tt3_tt4,0.17185861792341658,98
Gender,tt1_tt2,0.06848720346116534,95
Gender,tt1_tt3,0.0925856921475193,95
Gender,tt1_tt4,0.20614825212739532,95
Gender,tt2_tt3,0.2501802501938367,95
Gender,tt2_tt4,-0.12160706834959438,95
Gender,tt3_tt4,0.23820131973019448,95
Lincoln-Hitler,tt1_tt2,0.16806824831237155,131
Lincoln-Hitler,tt1_tt3,0.08421877930202015,131
Lincoln-Hitler,tt1_tt4,0.17762885133348857,131
Lincoln-Hitler,tt2_tt3,0.10434900857829282,131
Lincoln-Hitler,tt2_tt4,-3.1245315568357066e-4,131
Lincoln-Hitler,tt3_tt4,0.22598479386483195,131
Non-words,tt1_tt2,0.05600422341312097,19
Non-words,tt1_tt3,0.3288551684033413,19
Non-words,tt1_tt4,-0.08266056805879343,19
Non-words,tt2_tt3,-0.08673756199514626,19
Non-words,tt2_tt4,0.025123316779613093,19
Non-words,tt3_tt4,0.12105070785527534,19
Race (1),tt1_tt2,0.36526149738792896,45
Race (1),tt1_tt3,0.460561578645551,45
Race (1),tt1_tt4,0.12409059855553248,45
Race (1),tt2_tt3,0.15636577508514693,45
Race (1),tt2_tt4,0.06728525002379016,45
Race (1),tt3_tt4,0.2701609949012877,45
Race (2),tt1_tt2,0.09116121410815864,44
Race (2),tt1_tt3,0.17841381166443968,44
Race (2),tt1_tt4,0.25176149559105404,44
Race (2),tt2_tt3,0.03930761120925993,44
Race (2),tt2_tt4,0.13355278318633834,44
Race (2),tt3_tt4,0.5272935663939717,44
Religion,tt1_tt2,0.16011643571433798,30
Religion,tt1_tt3,0.06853955781417763,30
Religion,tt1_tt4,0.10379896732355996,30
Religion,tt2_tt3,0.06253159812967714,30
Religion,tt2_tt4,-0.14094556993339877,30
Religion,tt3_tt4,0.4213918921590829,30
Rich-Poor,tt1_tt2,-0.03755249349404901,84
Rich-Poor,tt1_tt3,0.09855764292182251,84
Rich-Poor,tt1_tt4,0.28424902536726493,84
Rich-Poor,tt2_tt3,0.06005079248041599,84
Rich-Poor,tt2_tt4,0.08167960366220497,84
Rich-Poor,tt3_tt4,-0.05751076788696019,84
